Заказчик;Предст.заказчика;Объект;№ заказа;Заключен;№ комплекта;Наименование комплекта;№ изделия по приложению;№ изделия по повт.приложению;Л;Центр работ;Включено;Наименование изделия;Отказ;Менеджер проекта;Руководитель группы;Архитектор проекта;Конструктор;Исполнитель Диз.проекта;Статус ДП;Обр.не подписан;Обр.подписан;Размер;Этаж;Помещение;Ед-ца изм.;Количество по дог-ру;Серийный №;Материал массив;Материал шпон;Рисунок;Порядковый № образца цвета заказчика;Художественный отдел;1-Улица 2-Помещение с повыш. влажностью 3-Поверхности с повыш.износом;Кол-во по факту проектирования;Об-ва ДП;Об-ва Oбразцы;Об-ва ГП;Смежники по дереву;Договор заключен;Дата сдачи;К.Сверхур %;КДП создана;КДП утверждена внутри фирмы;Ведомость фурнитуры;Ведомость стекла;Утвержденная спецификация передана в производство;КД передана в архив и производство, в том числе смежникам;Отгружено в отделку без резьбы.;Отгружено в отделку с резьбой.;Передано на грунт;Передано на грунт с резьбой;Выполнено в черновой шлифовке.;Выполнено в черновой шлифовке с резьбой.;Перемещено в зону чистовой отделки.;Перемещено в зону чистовой отделки с резьбой.;Выполнено в отделке без резьбы.;Выполнено в отделке с резьбой.;Отметка ОТК без резьбы;Отметка ОТК с резьбой;Поступило на склад ГП без резьбы.;Поступило на склад ГП с резьбой;Отгружено на объект без резьбы;Примечания;Отгружено на объект с резьбой;Сервис менеджер;Об-ва нач.монтажа;Об-ва окон.монтажа;Невозможность начать монтаж;Монтажник;Смонтировано;Акт подписан
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;1;1;зеркало;ХМ;;Дверь DR-T02 одностворчатая распашная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон, Фрамуга верхняя зеркальная (Зеркало серебро без фацета) в обрамлении с гладким профилем. Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость). С учётом стоимости металлической решетки.;;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;1,3;;2550х900;7 этаж;London / Прихожая - Гардеробная / Гостевой С/у;шт;1;Спец.Дизайн;;;;3  НПЗ;;;;;;17-03-2019;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;18-03-2019;27-03-2019;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;1;38;;;;Дверь DR-T02 одностворчатая распашная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон, Фрамуга верхняя зеркальная (Зеркало серебро без фацета) в обрамлении с гладким профилем. Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость). С учётом стоимости металлической решетки.;;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;;;2550х900;7 этаж;London / Прихожая - Гардеробная / Гостевой С/у;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;;;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;2;2;зеркало;ХМ;;Дверь DR-T03 двустворчатая распашная, Полотно лстеклённое (Зеркало серебро без фацета) в обрамлении с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон,  Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость). С учётом стоимости металлической решетки.;;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;1,3;;2550х1600;7 этаж;London / Гостиная;шт;1;Спец.Дизайн;;;;3  НПЗ;;;;;;17-03-2019;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;18-03-2019;27-03-2019;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;3;3;;;;Дверь DR-T04 скрытая одностворчатая распашная , Полотно глухое филёнки со штапиком с гладким профилем с одной стороны, Полотно глухое гладкое под отделку заказчика с другой стороны), Обрамление: наличник с гладким профилем с одной стороны, Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;1;;2550х1000;7 этаж;London / Мастер зона / Библиотека;шт;2;Спец.Дизайн;;;комбинир;1  НПЗ;;;;;;17-03-2019;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;18-03-2019;27-03-2019;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;3;39;;;;Дверь DR-T04 скрытая одностворчатая распашная , Полотно глухое филёнки со штапиком с гладким профилем с одной стороны, Полотно глухое гладкое под отделку заказчика с другой стороны), Обрамление: наличник с гладким профилем с одной стороны, Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;;;2550х1000;7 этаж;London / Мастер зона / Библиотека;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;;;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;4;4;;;;Дверь DR-T05 / DR-T08 одностворчатая раздвижная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон, Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) раздвижной механизм входит в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;1;;2550х800;н.д.;London / Мастер Спальня / Мастер Ванная / Ванная 01;шт;3;Спец.Дизайн;;;комбинир;1  НПЗ;;;;;;17-03-2019;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;18-03-2019;27-03-2019;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;4;41;;;;Дверь DR-T05 / DR-T08 одностворчатая раздвижная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон, Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) раздвижной механизм входит в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;;;2550х800;н.д.;London / Мастер Спальня / Мастер Ванная / Ванная 01;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;;;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;4;42;;;;Дверь DR-T05 / DR-T08 одностворчатая раздвижная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон, Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) раздвижной механизм входит в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;;;2550х800;н.д.;London / Мастер Спальня / Мастер Ванная / Ванная 01;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;;;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;5;5;;;;Дверь DR-T06 одностворчатая распашная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон. Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;4;;2550х1000;7 этаж;London / В спальню 01;шт;1;Спец.Дизайн;;;комбинир;4  НПЗ;;;;;;17-03-2019;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;18-03-2019;27-03-2019;;;;
АРКА/Баркли;;г. Москва, ЦАО, ул. Б. Ордынка, вл. 20/4, стр.1 и Ордынский тупик, вл. 6, стр. 1.;2434;12-12-2018;458;7этаж/ЛОНДОН/двери;6;6;;;;Дверь DR-T07 одностворчатая распашная, Полотно глухое филёнки со штапиком с гладким профилем, Обрамление: наличник с гладким профилем с двух сторон. Доборы гладкие до 300мм. (Без учёта стоимости фурнитуры (Ручки, замки, ограничители открывания) петли входят в стоимость);;Маркобрунов;Титов Алексей;Титов Алексей;КТАО;Камынин А.;Утвержден внутри фирмы и отправлен заказчику 06-05-2019;1,4;;2550х800;7 этаж;London / Спальня 01-Гардеробная / Коридор-Кладовая обуви;шт;2;Спец.Дизайн;;;комбинир;1  НПЗ;;;;;;17-03-2019;;;;;НЕ ТРЕБУЕТСЯ;НЕ ТРЕБУЕТСЯ;;;не вброшена;НЕ ТРЕБУЕТСЯ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;;18-03-2019;27-03-2019;;;;
