Заказчик;Предст.заказчика;Объект;№ заказа;Заключен;№ комплекта;Наименование комплекта;№ изделия по приложению;№ изделия по повт.приложению;Л;Центр работ;Включено;Наименование изделия;Отказ;Менеджер проекта;Руководитель группы;Архитектор проекта;Конструктор;Исполнитель Диз.проекта;Статус ДП;Обр.не подписан;Обр.подписан;Размер;Этаж;Помещение;Ед-ца изм.;Количество по дог-ру;Серийный №;Материал массив;Материал шпон;Рисунок;Порядковый № образца цвета заказчика;Художественный отдел;1-Улица 2-Помещение с повыш. влажностью 3-Поверхности с повыш.износом;Кол-во по факту проектирования;Об-ва ДП;Об-ва Oбразцы;Об-ва ГП;Смежники по дереву;Договор заключен;Дата сдачи;К.Сверхур %;КДП создана;КДП утверждена внутри фирмы;Ведомость фурнитуры;Ведомость стекла;Утвержденная спецификация передана в производство;КД передана в архив и производство, в том числе смежникам;Отгружено в отделку без резьбы.;Отгружено в отделку с резьбой.;Передано на грунт;Передано на грунт с резьбой;Выполнено в черновой шлифовке.;Выполнено в черновой шлифовке с резьбой.;Перемещено в зону чистовой отделки.;Перемещено в зону чистовой отделки с резьбой.;Выполнено в отделке без резьбы.;Выполнено в отделке с резьбой.;Отметка ОТК без резьбы;Отметка ОТК с резьбой;Поступило на склад ГП без резьбы.;Поступило на склад ГП с резьбой;Отгружено на объект без резьбы;Примечания;Отгружено на объект с резьбой;Сервис менеджер;Об-ва нач.монтажа;Об-ва окон.монтажа;Невозможность начать монтаж;Монтажник;Смонтировано;Акт подписан
София;н.д.    ;н.д.;2500;;200;Дверь "Наполеон 3",двухстворчатая глухая распашная в стиле эклектики второй фран. Империи, Полотна:филёнки со штапиком резным профилем, верхний и нижний уровень, филёнки малые с резьбой в массиве, средний уровень: филёнки с барельефной резьбой в массиве, Обрамление с двух сторон: наличник с резным профилем, Сандрик с барельефной резьбой в массиве с двух сторон, Добор гладкий (до 300мм), (без учёта стоимости фурнитуры);1;1;;;;Дверь "Наполеон III" двухстворчатая глухая распашная в стиле эклектики второй французской Империи, Полотна: филенки со штапиком с резным профилем, верхний и нижний уровень: филенки малые с резьбой в массиве, средний уровень: филенки с барельефной резьбой в массиве, Обрамление с двух сторон: наличник с резным профилем, Сандрик с барельефной резьбой в массиве с двух сторон, Добор гладкий (до 300мм), (без учета стоимости фурнитуры);;;Аляпкин  А.;Аляпкин  А.;;;Не требуется;3,1,2;;~3335х1600;н.д.;шоу-рум Софии-Декор;шт;1;"Наполеон III";;;комбинир;3  НПЗ;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;201;Панель "Шантильи" с резными элементами, Вариант №1: панель из массива бука;2;;;;;Панель "Шантильи" с резными элементами, Вариант №1: панель из массива Бука;;;Аляпкин  А.;Аляпкин  А.;;;;4;;2500х975;н.д.;шоу-рум Софии-Декор;шт;1;"Шантильи";Бук (резьба в массиве);нет;;4  НПЗ;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;202;Панель "Шантильи" с резными элементами, Вариант №2: панель из массива дуба;3;;;;;Панель "Шантильи" с резными элементами, Вариант №2: панель из массива Дуба;;;Аляпкин  А.;Аляпкин  А.;;;;;;2500х975;н.д.;шоу-рум Софии-Декор;шт;1;"Шантильи";Дуб (резьба в массиве);нет;;;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;203;Дверь "Екатерина 2" (для шоурума Софии-Декор) одностворчатая глухая распашная, Полотно с резными элементами с двух сторон, Обрамление с двух сторон: пилястры с резными кронштейнами, сандрик с двух сторон;4;;;;;Дверь "Екатерина II" (для шоу-рума Софии-Декор) одностворчатая глухая распашная, Полотно с резными элементами с 2 сторон, Обрамление с 2 сторон: пилястры с резными кронштейнами, сандрик с 2 сторон;;;Аляпкин  А.;Аляпкин  А.;Сафронов Е.;;;1;;2500х979;н.д.;шоу-рум Софии-Декор;шт;1;"Екатерина II";Бук / Дуб;н.д.;укрывной;1  НПЗ;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;204;Дверь "Екатерина 2" (для шоурума CasaRicca) одностворчатая глухая распашная, Полотно с резными элементами с двух сторон, Обрамление с двух сторон: пилястры с резными кронштейнами, сандрик с двух сторон;5;;;;;Дверь "Екатерина II" (для шоу-рума CasaRicca)               одностворчатая глухая распашная, Полотно с резными элементами с 2 сторон, Обрамление с 2 сторон: пилястры с резными кронштейнами, сандрик с 2 сторон;;;Аляпкин  А.;Аляпкин  А.;Сафронов Е.;;;2;;2500х979;н.д.;шоу-рум CasaRicca;шт;1;"Екатерина II";Дуб;н.д.;укрывной;2  НПЗ;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;205;Экспозитор для образцов (для шоурума CasaRicca), Бук/МДФ, LED подсветка;6;;;;;Экспозитор для образцов (для шоу-рума CasaRicca),  Бук/МДФ, LED подсветка;;;Аляпкин  А.;Аляпкин  А.;;;;1;;3324х500х348;н.д.;шоу-рум CasaRicca;шт;1;Спец.Дизайн;Бук;МДФ;укрывной;1  НПЗ;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;206;Комплект образцов из дерева для экспозитора (для шоурума CasaRicca);7;;;;;Комплект образцов из дерева для экспозитора (для шоу-рума CasaRicca), ;;;Аляпкин  А.;Аляпкин  А.;;;;;;н.д.;н.д.;шоу-рум CasaRicca;шт;10;Спец.Дизайн;н.д.;н.д.;;;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;207;Комплект образцов из стекла, для экспозитора (для шоурума CasaRicca);8;;;;;Комплект образцов из стекла для экспозитора (для шоу-рума CasaRicca), ;;;Аляпкин  А.;Аляпкин  А.;;;;;;н.д.;н.д.;шоу-рум CasaRicca;шт;10;Спец.Дизайн;н.д.;н.д.;;;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;208;Панель резная (из проекта Кравцовой) (для шоурума Софии-Декор), Вариант №1: Бук/МДФ;9;;;;;Панель резная (из проекта Кравцовой) (для шоу-рума Софии-Декор) , Вариант №1: Бук / МДФ;;;Аляпкин  А.;Аляпкин  А.;;;;;;2500х977 (уточнить габариты);н.д.;шоу-рум Софии-Декор;шт;1;"панель из проекта Кравцовой";Бук;н.д.;;;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;209;Панель резная (из проекта Кравцовой) (для шоурума Софии-Декор), Вариант №2: Дуб/Обструг дуба;10;;;;;Панель резная (из проекта Кравцовой) (для шоу-рума Софии-Декор) , Вариант №2: Дуб / Обструг дуба;;;Аляпкин  А.;Аляпкин  А.;;;;;;2500х981 (уточнить габариты);н.д.;шоу-рум Софии-Декор;шт;1;"панель из проекта Кравцовой";Дуб;н.д.;;;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;210;Экспозитор для образцов;11;;;;;Экспозитор для образцов;;;Аляпкин  А.;Аляпкин  А.;;;;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;10;Спец.Дизайн;Фанера;н.д.;;;;;;07-12-2017;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;12;;ХМ;;Кабинет в стиле "Французское Барокко" (для шоу-рума Софии-Декор)  - Кабинет, Массив Дуба / Обструг Дуба;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;6,5;;н.д.;н.д.;шоу-рум Софии-Декор;шт;1;Спец.Дизайн;;;;6  НПЗ;;;;07-12-2017;;;;;;;12-12-2018;21-12-2018;;;29-12-2018;29-12-2018;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;121;;;;шкаф трехстворчатый фасады со стеклом;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;12-12-2018;21-12-2018;;;29-12-2018;29-12-2018;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;122;;;;шкаф двухстворчатый фасады глухие;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;12-12-2018;21-12-2018;;;29-12-2018;29-12-2018;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;123;;;;шкаф двухстворчатый фасады глухие;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;12-12-2018;21-12-2018;;;29-12-2018;29-12-2018;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;124;;;;Экран радиатора;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;11-01-2019;16-01-2019;;;25-01-2019;22-01-2019;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;125;;;;Экран радиатора;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;11-01-2019;16-01-2019;;;25-01-2019;22-01-2019;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;126;;;;Обрамление камина;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;11-01-2019;16-01-2019;;;25-01-2019;22-01-2019;31-01-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;127;;;;Дверь двухстворчатая со стеклом;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;шт;0;Спец.Дизайн;;;;;;;;;;;;;;;30-01-2019;01-02-2019;;;20-02-2019;20-02-2019;26-03-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;128;;;;Панель пояса для выставки в Дубаи;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;;;;н.д.;н.д.;шоу-рум Софии-Декор;компл;0;Спец.Дизайн;;;;;;;;;;;;;;;;;;;не вброшена;;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;;НЕТ;;;НЕТ;никто;;;;;;
София;н.д.    ;н.д.;2500;;211;Кабинет в стиле "Французское Барокко" (для шоурума Софии-Декор)  - Кабинет, Массив Дуба/Обструг Дуба ;12;129;;;;панели на входе в кабинет;;;Аляпкин  А.;Аляпкин  А.;Киселев Я.;;Не требуется;;;н.д.;н.д.;шоу-рум Софии-Декор;компл;0;Спец.Дизайн;;;;;;;;;;;;;;;06-02-2019;08-02-2019;;;18-03-2019;27-02-2019;19-06-2019;НЕТ;;НЕТ;;НЕТ;;НЕТ;;НЕТ;;;(П)07-08-2019;НЕТ;;;НЕТ;никто;;;;;;
